first_name,last_name,email,birth_date,country,gpa,major,iq,registrations
Lisle,Scamal,lscamal0@gravatar.com,8/6/1957,China,3.36,American Studies,81,"[{'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Intro to College English'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Literary Genres'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 98, 'course': 'World Views'}]"
Birdie,Folcarelli,bfolcarelli1@wikispaces.com,12/23/1933,China,3.29,Sociology,86,"[{'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 83, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 94, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 96, 'course': 'Principles of Mathematics and Logic'}]"
Weston,Corck,wcorck2@theatlantic.com,9/6/1931,China,3.51,Communications,97,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Modern Philosophy'}]"
Nicolis,Barnsdale,nbarnsdale3@ihg.com,1/3/1933,China,2.37,Communications,93,"[{'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'World Views'}, {'grade_type': 'AUDIT', 'point_percent': 75, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Applied Themes in English'}]"
Valida,Chadwen,vchadwen4@prlog.org,5/26/1982,Brazil,3.52,American Studies,89,"[{'grade_type': 'PASS_FAIL', 'point_percent': 79, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 82, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'AUDIT', 'point_percent': 80, 'course': 'Post-Classical History'}, {'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Physical Activity and Autonomy'}]"
Judon,Castagnet,jcastagnet5@delicious.com,1/29/1988,Russia,1.86,Anthropology,84,"[{'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'World Views'}]"
Gibb,Ellis,gellis6@state.tx.us,5/5/1968,Philippines,2.85,American Studies,114,"[{'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Greco-Roman Tradition'}]"
Justinn,Uc,juc7@cisco.com,8/27/1928,Indonesia,1.56,Anthropology,130,"[{'grade_type': 'AUDIT', 'point_percent': 75, 'course': 'Applied Ethics in Humanities'}]"
Winn,Halsworth,whalsworth8@reference.com,9/2/1981,Yemen,1.57,Sociology,103,"[{'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Post-Classical History'}, {'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Ancient Philosophy'}]"
Fidel,McCheyne,fmccheyne9@mlb.com,1/17/1926,Ukraine,1.64,Philosophy,98,"[{'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Modern Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Applied Ethics in Humanities'}]"
